Number,Name,Position,Height,Weight,Class,Hometown
53,Khalid Kareem,DE,76,265,Jr.,"Detroit, MI/Harrison"
53,Sam Mustipher,OL,74,306,5th,"Olney, MD/Good Counsel"
54,Lincoln Feist*,DT,74,330,Sr.,"Rapid City, SD/St. Thomas More"
54,John Shannon,LS,74,235,Jr.,"Lake Forest, IL/Loyola Academy"
55,Jonathan Bonner,DT,76,295,5th,"Chesterfield, MO/Parkway Central"
55,Jarrett Patterson,OL,76,290,Fr.,"Laguna Hills, CA/Mission Viejo"
56,John Dirksen,OL,77,303,Fr.,"Maria Stein, OH/Marion Local"
57,Trevor Ruhland,OL,75,295,Sr.,"Cary, IL/Cary-Grove"
57,Jayson Ademilola,DT,75,284,Fr.,"Jackson, NJ/St. Peter's Prep"
60,Cole Mabry,OL,77,270,Fr.,"Brentwood, TN/HS"
61,Colin Grunhard*,OL,72,280,Soph.,"Mission, KS/Bishop Miege"
62,Logan Plantz*,OL,74,284,Sr.,"Frankfort, IL/Providence Catholic"
63,Cody Benjamin*,OL,75,230,Fr.,"Tampa, Fla./Berkeley Prep"
64,Max Siegel*,OL,73,306,Fr.,"Indianapolis, IN/Brebeuf Jesuit Prep"
65,Michael Vinson*,LS,74,228,Fr.,"Winnetka, IL/New Trier"
69,Aaron Banks,OL,78,319,Soph.,"Alameda, CA/El Cerrito"
70,Luke Jones,OL,77,303,Fr.,"Little Rock, AR/Pulaski Academy"
71,Alex Bars,OL,78,315,5th,"Nashville, TN/Montgomery Bell"
72,Robert Hainsey,OL,76,295,Soph.,"Pittsburgh, PA/IMG Academy (FL)"
74,Liam Eichenberg,OL,78,308,Jr.,"Cleveland, OH/St. Ignatius"
75,Josh Lugg,OL,79,314,Soph.,"Wexford, PA/North Allegheny"
76,Dillan Gibbons,OL,76,313,Soph.,"Clearwater, FL/Central Catholic"
78,Tommy Kraemer,OL,77,316,Jr.,"Cincinnati, OH/Elder"
80,Micah Jones,WR,76,212,Fr.,"Gurnee, IL/Warren Township"
81,Miles Boykin,WR,76,228,Sr.,"Tinley Park, IL/Providence Catholic"
82,Nic Weishar,TE,77,246,5th,"Midlothian, IL/Marist"
83,Chase Claypool,WR,76,227,Jr.,"Abbotsford, BC/Abbotsford"
84,Cole Kmet,TE,77,258,Soph.,"Lake Barrington, IL/St. Viator"
85,George Takacs,TE,78,250,Fr.,"Naples, FL/Gulf Coast"
86,Alizé Mack,TE,77,247,Sr.,"Las Vegas, NV/Bishop Gorman"
87,Michael Young,WR,70,185,Soph.,"St. Rose, LA/Destrehan"
88,Javon McKinley,WR,74,219,Jr.,"Corona, CA/Centennial"
89,Brock Wright,TE,76,260,Soph.,"Cypress, TX/Cy-Fair"
91,Adetokunbo Ogundeji,DE,76,255,Jr.,"West Bloomfield, MI/Walled Lake Central"
94,Darnell Ewell,DT,75,330,Soph.,"Norfolk, VA/Lake Taylor"
95,Myron Tagovailoa-Amosa,DT,74,285,Soph.,"Ewa Beach, HI/Kapolei"
97,Micah Dew-Treadway,DT,76,300,Sr.,"Bolingbrook, IL/HS"
98,Ja'Mion Franklin,DT,73,306,Fr.,"Ridgely, MD/North Caroline"
99,Jerry Tillery,DT,79,305,Sr.,"Shreveport, LA/Evangel Christian"
