opeid,name,address,city,state,state_desc,zipcode,zipcode_ext,school_type_code,school_type_desc,year_1,year_1_borrowers_in_default,year_1_borrowers_in_repay,year_1_default_rate,year_2,year_2_borrowers_in_default,year_2_borrowers_in_repay,year_2_default_rate,year_3,year_3_borrowers_in_default,year_3_borrowers_in_repay,year_3_default_rate
20876,CONCORDIA THEOLOGICAL SEMINARY,6600 NORTH CLINTON STREET,FORT WAYNE,IN,INDIANA,46825,4996,2,PrivateNonProfit,2013,1,64,1.5,2012,2,75,2.6,2011,0,89,0
3842,CONCORDIA UNIVERSITY,12800 NORTH LAKE SHORE DRIVE,MEQUON,WI,WISCONSIN,53097,2402,2,PrivateNonProfit,2013,111,2166,5.1,2012,142,2127,6.6,2011,135,1981,6.8
3191,CONCORDIA UNIVERSITY,2811 NORTHEAST HOLMAN STREET,PORTLAND,OR,OREGON,97211,6099,2,PrivateNonProfit,2013,70,1541,4.5,2012,37,1158,3.1,2011,39,913,4.2
1666,CONCORDIA UNIVERSITY,7400 AUGUSTA,RIVER FOREST,IL,ILLINOIS,60305,1499,2,PrivateNonProfit,2013,61,1638,3.7,2012,58,1690,3.4,2011,50,1419,3.5
20705,CONCORDIA UNIVERSITY,1530 CONCORDIA WEST,IRVINE,CA,CALIFORNIA,92612,3203,2,PrivateNonProfit,2013,40,1167,3.4,2012,26,1045,2.4,2011,29,817,3.5
2541,CONCORDIA UNIVERSITY,800 NORTH COLUMBIA AVENUE,SEWARD,NE,NEBRASKA,68434,1594,2,PrivateNonProfit,2013,9,536,1.6,2012,11,536,2,2011,13,361,3.6
2347,CONCORDIA UNIVERSITY - SAINT PAUL,1282 CONCORDIA AVENUE,SAINT PAUL,MN,MINNESOTA,55104,5494,2,PrivateNonProfit,2013,38,1042,3.6,2012,47,1065,4.4,2011,62,966,6.4
3557,CONCORDIA UNIVERSITY TEXAS,11400 CONCORDIA UNIVERSITY DRIVE,AUSTIN,TX,TEXAS,78726,4141,2,PrivateNonProfit,2013,66,1052,6.2,2012,63,919,6.8,2011,53,790,6.7
6537,CONEMAUGH MEMORIAL MEDICAL CENTER,1086 FRANKLIN STREET,JOHNSTOWN,PA,PENNSYLVANIA,15905,4398,3,PrivateForProfit,2013,5,91,5.4,2012,2,87,2.2,2011,6,88,6.8
23166,CONNECTICUT CENTER FOR MASSAGE THERAPY,75 KITTS LANE,NEWINGTON,CT,CONNECTICUT,6111,3975,3,PrivateForProfit,2013,40,388,10.3,2012,37,389,9.5,2011,48,420,11.4
1379,CONNECTICUT COLLEGE,270 MOHEGAN AVENUE,NEW LONDON,CT,CONNECTICUT,6320,4196,2,PrivateNonProfit,2013,5,242,2,2012,4,267,1.4,2011,8,260,3
21487,CONNECTICUT INSTITUTE OF HAIR DESIGN,1681 MERIDEN ROAD,WOLCOTT,CT,CONNECTICUT,6716,3322,3,PrivateForProfit,2013,23,78,29.4,2012,17,78,21.7,2011,14,73,19.1
3153,CONNORS STATE COLLEGE,700 COLLEGE ROAD,WARNER,OK,OKLAHOMA,74469,2204,1,Public,2013,167,700,23.8,2012,177,719,24.6,2011,125,556,22.4
10819,CONSERVATORIO DE MUSICA DE PUERTO RICO,"AVE. PONCE DE LEON 951, MIRAMAR ",SAN JUAN,PR,PUERTO RICO,907,3373,1,Public,2013,7,63,11.1,2012,8,57,14,2011,12,51,23.5
30344,CONSERVATORY OF RECORDING ARTS & SCIENCES,2300 EAST BROADWAY ROAD,TEMPE,AZ,ARIZONA,85282,1707,3,PrivateForProfit,2013,88,532,16.5,2012,84,566,14.8,2011,89,523,17
30299,CONSOLIDATED SCHOOL OF BUSINESS,2124 AMBASSADOR CIRCLE,LANCASTER,PA,PENNSYLVANIA,17603,2389,3,PrivateForProfit,2013,13,91,14.2,2012,7,78,8.9,2011,14,99,14.1
22896,CONSOLIDATED SCHOOL OF BUSINESS,1605 CLUGSTON ROAD,YORK,PA,PENNSYLVANIA,17404,1779,3,PrivateForProfit,2013,7,72,9.7,2012,4,89,4.4,2011,16,84,19
13189,CONTINENTAL ACADEMIE OF HAIR DESIGN,102 DERRY STREET,HUDSON,NH,NEW HAMPSHIRE,3051,3754,3,PrivateForProfit,2013,6,49,12.2,2012,3,51,5.8,2011,9,57,15.7
8189,CONTINENTAL SCHOOL OF BEAUTY CULTURE,1050 UNION ROADSOUTHGATE PLAZA,WEST SENECA,NY,NEW YORK,14224,3402,3,PrivateForProfit,2013,22,219,10,2012,19,186,10.2,2011,16,172,9.3
26170,CONTINENTAL SCHOOL OF BEAUTY CULTURE,517 NORTH BARRY STREET,OLEAN,NY,NEW YORK,14760,2618,3,PrivateForProfit,2013,10,116,8.6,2012,9,140,6.4,2011,20,154,12.9
7522,CONTINENTAL SCHOOL OF BEAUTY CULTURE,633 JEFFERSON ROAD,ROCHESTER,NY,NEW YORK,14623,3231,3,PrivateForProfit,2013,40,597,6.7,2012,38,549,6.9,2011,26,462,5.6
1190,CONTRA COSTA COLLEGE,2600 MISSION BELL DRIVE,SAN PABLO,CA,CALIFORNIA,94806,3195,1,Public,2013,37,166,22.2,2012,39,154,25.3,2011,18,88,20.4
3431,CONVERSE COLLEGE,580 EAST MAIN STREET,SPARTANBURG,SC,SOUTH CAROLINA,29302,1931,2,PrivateNonProfit,2013,23,379,6,2012,24,387,6.2,2011,22,361,6
22743,CONWAY SCHOOL OF LANDSCAPE DESIGN,332 SOUTH DEERFIELD ROAD,CONWAY,MA,MASSACHUSETTS,1341,179,2,PrivateNonProfit,2013,0,30,0,2012,0,42,0,2011,0,38,0
22486,COOPER HEALTH SYSTEM THE - CENTER FOR ALLIED HEALTH EDUCATION,1 COOPER PLAZA,CAMDEN,NJ,NEW JERSEY,8103,1489,2,PrivateNonProfit,2013,3,44,6.8,2012,3,47,6.3,2011,1,37,2.7
2710,COOPER UNION FOR THE ADVANCEMENT OF SCIENCE & ART (THE),30 COOPER SQUARE,NEW YORK,NY,NEW YORK,10003,7120,2,PrivateNonProfit,2013,5,74,6.7,2012,7,84,8.3,2011,4,81,4.9
2402,COPIAH-LINCOLN COMMUNITY COLLEGE,1028 J.C. REDD DRIVE,WESSON,MS,MISSISSIPPI,39191,649,1,Public,2013,162,738,21.9,2012,189,751,25.1,2011,152,780,19.4
35424,COPPER MOUNTAIN COLLEGE,6162 ROTARY WAY,JOSHUA TREE,CA,CALIFORNIA,92252,6102,1,Public,2013,39,140,27.8,2012,33,128,25.7,2011,20,118,16.9
2068,COPPIN STATE UNIVERSITY,2500 WEST NORTH AVENUE,BALTIMORE,MD,MARYLAND,21216,3698,1,Public,2013,165,1136,14.5,2012,205,1144,17.9,2011,217,961,22.5
1339,CORBAN UNIVERSITY,5000 DEER PARK DRIVE SOUTH EAST,SALEM,OR,OREGON,97317,9392,2,PrivateNonProfit,2013,13,368,3.5,2012,10,389,2.5,2011,12,319,3.7
41313,CORINTH ACADEMY OF COSMETOLOGY,502 CRUISE STREET,CORINTH,MS,MISSISSIPPI,38834,4813,3,PrivateForProfit,2013,4,32,12.5,2012,5,17,29.4,2011,5,17,29.4
1856,CORNELL COLLEGE,600 FIRST STREETSOUTH WEST,MOUNT VERNON,IA,IOWA,52314,1098,2,PrivateNonProfit,2013,7,303,2.3,2012,10,305,3.2,2011,11,272,4
2711,CORNELL UNIVERSITY,300 DAY HALL,ITHACA,NY,NEW YORK,14853,2801,2,PrivateNonProfit,2013,19,2916,0.6,2012,28,2793,1,2011,43,2751,1.5
2266,CORNERSTONE UNIVERSITY,1001 EAST BELTLINE NORTHEAST,GRAND RAPIDS,MI,MICHIGAN,49525,5897,2,PrivateNonProfit,2013,51,816,6.2,2012,51,949,5.3,2011,68,894,7.6
2863,CORNING COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEGES,1 ACADEMIC DRIVE,CORNING,NY,NEW YORK,14830,3297,1,Public,2013,246,1353,18.1,2012,342,1561,21.9,2011,382,1451,26.3
12315,CORNISH COLLEGE OF THE ARTS,1000 LENORA STREET,SEATTLE,WA,WASHINGTON,98121,4604,2,PrivateNonProfit,2013,8,244,3.2,2012,8,251,3.1,2011,16,253,6.3
24917,CORTIVA INSTITUTE -BOSTON,103 MORSE STREET,WATERTOWN,MA,MASSACHUSETTS,2472,2577,3,PrivateForProfit,2013,8,116,6.8,2012,10,183,5.4,2011,12,157,7.6
34557,CORTIVA INSTITUTE - CHICAGO,17 NORTH STATE STREET5TH FLOOR,CHICAGO,IL,ILLINOIS,60602,3315,3,PrivateForProfit,2013,42,314,13.3,2012,66,494,13.3,2011,77,499,15.4
22796,CORTIVA INSTITUTE - FLORIDA,4045 PARK BOULEVARD,PINELLAS PARK,FL,FLORIDA,33781,3634,3,PrivateForProfit,2013,25,149,16.7,2012,23,183,12.5,2011,22,177,12.4
37663,CORTIVA INSTITUTE - PENNSYLVANIA,211 SOUTH GULPH ROAD SUITE 100,KING OF PRUSSIA,PA,PENNSYLVANIA,19406,3101,3,PrivateForProfit,2013,18,165,10.9,2012,25,197,12.6,2011,21,169,12.4
26238,CORTIVA INSTITUTE - SCOTTSDALE,8010 EASTMCDOWELL ROAD SUITE 214,SCOTTSDALE,AZ,ARIZONA,85257,4218,3,PrivateForProfit,2013,10,88,11.3,2012,16,95,16.8,2011,21,129,16.2
30990,CORTIVA INSTITUTE - SEATTLE,425 PONTIUS AVENUE NORTH SUITE 100,SEATTLE,WA,WASHINGTON,98109,5474,3,PrivateForProfit,2013,31,234,13.2,2012,28,276,10.1,2011,23,260,8.8
25827,CORTIVA INSTITUTE - TUCSON,6390 EAST BROADWAY BOULEVARD,TUCSON,AZ,ARIZONA,85710,3503,3,PrivateForProfit,2013,23,215,10.6,2012,20,219,9.1,2011,17,159,10.6
41669,COSMETIC ARTS INSTITUTE,1789 HAMPTON STREET,WALTERBORO,SC,SOUTH CAROLINA,29488,4216,3,PrivateForProfit,2013,11,34,32.3,2012,14,31,45.1,2011,1,5,20
21506,COSMETOLOGY AND SPA ACADEMY,700 EAST TERRA COTTAAVENUE,CRYSTAL LAKE,IL,ILLINOIS,60014,4003,3,PrivateForProfit,2013,8,137,5.8,2012,7,140,5,2011,9,110,8.1
32753,COSMETOLOGY CAREER INSTITUTE,5015 A WESLEY STREET,GREENVILLE,TX,TEXAS,75402,6314,3,PrivateForProfit,2013,15,82,18.2,2012,17,99,17.1,2011,17,105,16.1
