DEPARTURE_DATETIME,AIRLINE,DAY_OF_WEEK,DISTANCE,AIR_TIME,TAXI_IN,TAXI_OUT,DEPARTURE_DELAY
2015-01-04 18:55:00,WN,7,228,48.0,13.0,25.0,25.0
2015-01-04 19:25:00,OO,7,110,27.0,30.0,8.0,-3.0
2015-01-04 20:35:00,B6,7,280,49.0,5.0,18.0,0.0
2015-01-04 22:04:00,UA,7,679,95.0,2.0,18.0,49.0
2015-01-04 23:08:00,AA,7,612,71.0,4.0,21.0,63.0
2015-01-05 05:46:00,WN,1,628,95.0,8.0,9.0,-4.0
2015-01-05 05:58:00,B6,1,1069,171.0,6.0,16.0,-7.0
2015-01-05 06:55:00,DL,1,1426,163.0,4.0,10.0,-5.0
2015-01-05 07:04:00,AS,1,956,120.0,7.0,19.0,-6.0
2015-01-05 07:14:00,DL,1,370,54.0,6.0,28.0,-6.0
2015-01-05 07:59:00,DL,1,1087,147.0,5.0,16.0,-1.0
2015-01-05 08:53:00,AA,1,802,117.0,10.0,11.0,33.0
2015-01-05 09:05:00,EV,1,143,29.0,3.0,15.0,-2.0
2015-01-05 10:06:00,OO,1,1242,161.0,30.0,15.0,6.0
2015-01-05 10:24:00,AA,1,2586,373.0,6.0,28.0,-6.0
2015-01-05 11:02:00,OO,1,188,37.0,3.0,18.0,-3.0
2015-01-05 11:17:00,OO,1,257,38.0,7.0,26.0,-5.0
2015-01-05 11:38:00,UA,1,1546,213.0,10.0,9.0,-1.0
2015-01-05 12:05:00,B6,1,1068,141.0,9.0,14.0,0.0
2015-01-05 12:09:00,UA,1,337,59.0,26.0,13.0,2.0
2015-01-05 12:27:00,OO,1,347,59.0,10.0,13.0,-3.0
2015-01-05 12:34:00,AA,1,2342,308.0,9.0,10.0,9.0
2015-01-05 13:29:00,WN,1,371,63.0,5.0,7.0,9.0
2015-01-05 14:25:00,OO,1,109,31.0,4.0,12.0,7.0
2015-01-05 14:56:00,WN,1,293,48.0,3.0,7.0,6.0
2015-01-05 17:50:00,DL,1,746,97.0,7.0,12.0,10.0
2015-01-05 17:53:00,DL,1,547,87.0,15.0,17.0,-6.0
2015-01-05 18:14:00,B6,1,1189,153.0,6.0,19.0,17.0
2015-01-05 18:41:00,WN,1,325,51.0,3.0,8.0,6.0
2015-01-05 18:55:00,WN,1,228,42.0,10.0,7.0,55.0
2015-01-05 19:33:00,AA,1,1389,211.0,3.0,28.0,48.0
2015-01-05 19:35:00,HA,1,216,39.0,7.0,10.0,5.0
2015-01-05 21:07:00,B6,1,187,40.0,4.0,17.0,22.0
2015-01-05 21:39:00,EV,1,199,38.0,14.0,14.0,2.0
2015-01-05 21:48:00,WN,1,2106,304.0,5.0,4.0,83.0
2015-01-06 07:37:00,AA,2,1012,120.0,4.0,19.0,17.0
2015-01-06 07:42:00,US,2,226,48.0,18.0,23.0,-8.0
2015-01-06 07:55:00,WN,2,725,100.0,40.0,13.0,20.0
2015-01-06 08:02:00,WN,2,1587,191.0,6.0,20.0,-3.0
2015-01-06 08:06:00,AA,2,1235,149.0,20.0,19.0,6.0
2015-01-06 08:55:00,DL,2,762,124.0,7.0,70.0,-4.0
2015-01-06 09:24:00,AA,2,1514,187.0,8.0,17.0,1.0
2015-01-06 09:42:00,WN,2,687,101.0,5.0,7.0,27.0
2015-01-06 11:34:00,WN,2,591,83.0,7.0,14.0,-1.0
2015-01-06 12:16:00,WN,2,562,79.0,5.0,8.0,1.0
2015-01-06 13:03:00,DL,2,1598,214.0,13.0,20.0,8.0
2015-01-06 13:05:00,WN,2,1048,157.0,6.0,17.0,0.0
2015-01-06 13:35:00,UA,2,794,101.0,5.0,13.0,45.0
2015-01-06 13:48:00,AA,2,3784,474.0,5.0,12.0,33.0
2015-01-06 14:11:00,WN,2,1599,211.0,8.0,8.0,1.0
2015-01-06 14:43:00,UA,2,414,62.0,5.0,16.0,-2.0
2015-01-06 15:15:00,F9,2,967,125.0,8.0,15.0,-10.0
2015-01-06 15:38:00,EV,2,1048,160.0,28.0,9.0,-3.0
2015-01-06 17:24:00,EV,2,820,120.0,12.0,17.0,45.0
2015-01-06 18:01:00,OO,2,574,111.0,5.0,12.0,17.0
2015-01-06 18:30:00,UA,2,862,107.0,4.0,13.0,32.0
2015-01-06 18:44:00,DL,2,946,116.0,8.0,26.0,54.0
2015-01-06 18:56:00,UA,2,811,105.0,8.0,10.0,11.0
2015-01-06 19:19:00,EV,2,488,103.0,11.0,26.0,28.0
2015-01-06 19:46:00,AA,2,1744,241.0,20.0,13.0,31.0
2015-01-06 20:13:00,OO,2,802,110.0,4.0,17.0,132.0
2015-01-06 20:39:00,WN,2,602,83.0,5.0,12.0,59.0
2015-01-07 05:54:00,UA,3,305,53.0,15.0,13.0,-6.0
2015-01-07 06:08:00,UA,3,236,40.0,5.0,20.0,-10.0
2015-01-07 06:12:00,OO,3,402,59.0,5.0,14.0,-8.0
2015-01-07 06:45:00,DL,3,1892,214.0,5.0,11.0,0.0
2015-01-07 06:48:00,AA,3,1089,165.0,29.0,23.0,-2.0
2015-01-07 08:10:00,AA,3,1464,186.0,9.0,16.0,4.0
2015-01-07 08:37:00,MQ,3,597,77.0,2.0,22.0,-8.0
2015-01-07 09:34:00,WN,3,507,70.0,3.0,9.0,-1.0
2015-01-07 10:19:00,NK,3,957,131.0,22.0,32.0,-4.0
2015-01-07 10:38:00,B6,3,1237,199.0,8.0,19.0,-2.0
2015-01-07 11:08:00,UA,3,1195,145.0,12.0,13.0,22.0
2015-01-07 11:32:00,AA,3,1660,231.0,6.0,18.0,42.0
2015-01-07 11:44:00,US,3,546,102.0,10.0,33.0,-6.0
2015-01-07 11:48:00,US,3,1460,188.0,5.0,25.0,33.0
2015-01-07 12:16:00,DL,3,1947,255.0,13.0,22.0,-4.0
2015-01-07 12:22:00,EV,3,657,112.0,30.0,13.0,-16.0
2015-01-07 14:17:00,B6,3,1249,208.0,2.0,11.0,-8.0
2015-01-07 14:30:00,EV,3,642,85.0,9.0,18.0,80.0
2015-01-07 14:31:00,DL,3,1276,157.0,4.0,17.0,-6.0
2015-01-07 15:49:00,MQ,3,672,101.0,2.0,10.0,29.0
2015-01-07 16:05:00,DL,3,404,59.0,9.0,15.0,5.0
2015-01-07 16:09:00,EV,3,223,46.0,5.0,13.0,-5.0
2015-01-07 17:42:00,OO,3,936,124.0,4.0,22.0,-2.0
2015-01-07 18:31:00,EV,3,528,86.0,5.0,31.0,3.0
2015-01-07 19:47:00,OO,3,261,44.0,5.0,18.0,4.0
